date,txn_id,customer_id,customer_name,customer_type,product,sub_product,geography,channel,units,unit_price,discount,net_revenue,cogs
2024-02-15,T00020,C020,Iris Logistics,Mid-market,Cloud,Data Platform,Americas,direct,120.0191,1.45,3.4806,170.5472,85.2736
2024-02-15,T00021,C021,Juniper Mobility,Mid-market,Cloud,Data Platform,Americas,partner,127.2206,1.45,3.6894,180.7804,90.3902
2024-02-15,T00022,C022,Krill Bank,Mid-market,Cloud,Data Platform,EMEA,direct,91.5253,1.45,2.6542,130.0575,65.0287
2024-02-15,T00023,C023,Lattice Labs,Mid-market,Cloud,Data Platform,APAC,direct,140.3539,1.45,4.0703,199.4429,99.7214
2024-02-15,T00024,C024,Mosaic Energy,Mid-market,Cloud,Data Platform,Americas,partner,134.4345,1.45,3.8986,191.0314,95.5157
2024-02-15,T00025,C025,Nimbus Health,Mid-market,Cloud,Data Platform,Americas,direct,128.2123,1.45,3.7182,182.1897,91.0948
2024-02-15,T00026,C026,Opal Foods,Mid-market,Cloud,Data Platform,EMEA,direct,72.278,1.45,2.0961,102.707,51.3535
2024-02-15,T00027,C027,Pylon Retail,Mid-market,Cloud,Data Platform,APAC,partner,104.9824,1.45,3.0445,149.1801,74.59
2024-02-15,T00028,C028,Quartz Systems,Mid-market,Cloud,Data Platform,Americas,direct,57.5927,1.45,1.6702,81.8392,40.9196
2024-02-15,T00029,C029,Rune Media,SMB,Cloud,Productivity Suite,Americas,direct,97.886,0.55,0.0,53.8373,26.9186
2024-02-15,T00030,C030,Sable Group,SMB,Cloud,Productivity Suite,EMEA,partner,177.5621,0.55,0.0,97.6591,48.8296
2024-02-15,T00031,C031,Tundra Robotics,SMB,Cloud,Productivity Suite,APAC,direct,182.2983,0.55,0.0,100.2641,50.132
2024-02-15,T00032,C032,Umber Logistics,SMB,Cloud,Productivity Suite,Americas,direct,201.7571,0.55,0.0,110.9664,55.4832
2024-02-15,T00033,C033,Vertex Mobility,SMB,Cloud,Productivity Suite,Americas,partner,126.666,0.55,0.0,69.6663,34.8331
2024-02-15,T00034,C034,Willow Bank,SMB,Cloud,Productivity Suite,EMEA,direct,134.6915,0.55,0.0,74.0803,37.0402
2024-02-15,T00035,C035,Xenon Labs,SMB,Cloud,Productivity Suite,APAC,direct,151.6707,0.55,0.0,83.4189,41.7094
2024-02-15,T00036,C036,Yield Energy,SMB,Cloud,Productivity Suite,Americas,partner,103.2887,0.55,0.0,56.8088,28.4044
2024-02-15,T00037,C037,Zephyr Health,SMB,Cloud,Productivity Suite,Americas,direct,94.3329,0.55,0.0,51.8831,25.9416
2024-02-15,T00038,C038,Northwind Foods,SMB,Cloud,Productivity Suite,EMEA,direct,152.6489,0.55,0.0,83.9569,41.9784
2024-02-15,T00039,C039,Bluepeak Retail,SMB,Cloud,Productivity Suite,APAC,partner,109.3731,0.55,0.0,60.1552,30.0776
2024-02-15,T00040,C040,Atlas Systems,SMB,Cloud,Productivity Suite,Americas,direct,176.4335,0.55,0.0,97.0384,48.5192
2024-02-15,T00041,C041,Ridgeline Media,SMB,Cloud,Productivity Suite,Americas,direct,146.3405,0.55,0.0,80.4873,40.2436
2024-02-15,T00042,C042,Solent Group,SMB,Cloud,Productivity Suite,EMEA,partner,188.5936,0.55,0.0,103.7265,51.8632
2024-02-15,T00043,C043,Kestrel Robotics,SMB,Cloud,Productivity Suite,APAC,direct,178.9607,0.55,0.0,98.4284,49.2142
2024-02-15,T00044,C044,Marrow Logistics,SMB,Cloud,Productivity Suite,Americas,direct,124.2491,0.55,0.0,68.337,34.1685
2024-02-15,T00045,C045,Quill Mobility,SMB,Cloud,Productivity Suite,Americas,partner,188.5619,0.55,0.0,103.7091,51.8545
2024-02-15,T00046,C046,Harbor Bank,SMB,Cloud,Productivity Suite,EMEA,direct,186.5427,0.55,0.0,102.5985,51.2992
2024-02-15,T00047,C047,Vector Labs,SMB,Cloud,Productivity Suite,APAC,direct,137.7243,0.55,0.0,75.7484,37.8742
2024-02-15,T00048,C048,Lumen Energy,SMB,Cloud,Productivity Suite,Americas,partner,119.9643,0.55,0.0,65.9803,32.9902
2024-02-15,T00049,C049,Praxis Health,SMB,Cloud,Productivity Suite,Americas,direct,177.5158,0.55,0.0,97.6337,48.8169
2024-02-15,T00050,C050,Onyx Foods,SMB,Cloud,Productivity Suite,EMEA,direct,95.7476,0.55,0.0,52.6612,26.3306
2024-02-15,T00051,C051,Cinder Retail,SMB,Cloud,Productivity Suite,APAC,partner,104.9516,0.55,0.0,57.7234,28.8617
2024-02-15,T00052,C052,Fable Systems,SMB,Cloud,Productivity Suite,Americas,direct,78.6029,0.55,0.0,43.2316,21.6158
2024-02-15,T00053,C053,Granite Media,Advertiser,Search Ads,Brand ads,APAC,direct,5746.4297,0.3692,0.0,2121.7587,742.6155
2024-02-15,T00054,C054,Iris Group,Advertiser,Search Ads,Brand ads,Americas,partner,5147.9856,0.3692,0.0,1900.7947,665.2781
2024-02-15,T00055,C055,Juniper Robotics,Advertiser,Search Ads,Brand ads,EMEA,direct,5113.1374,0.3692,0.0,1887.9277,660.7747
2024-02-15,T00056,C056,Krill Logistics,Advertiser,Search Ads,Brand ads,APAC,direct,5282.904,0.3692,0.0,1950.6107,682.7137
2024-02-15,T00057,C057,Lattice Mobility,Advertiser,Search Ads,Brand ads,Americas,partner,4108.3493,0.3692,0.0,1516.929,530.9251
2024-02-15,T00058,C058,Mosaic Bank,Advertiser,Search Ads,Brand ads,EMEA,direct,4709.0174,0.3692,0.0,1738.7141,608.5499
2024-02-15,T00059,C059,Nimbus Labs,Advertiser,Search Ads,Brand ads,APAC,direct,3060.4978,0.3692,0.0,1130.0299,395.5105
2024-02-15,T00060,C060,Opal Energy,Advertiser,Search Ads,Brand ads,Americas,partner,2932.4831,0.3692,0.0,1082.763,378.9671
2024-02-15,T00061,C061,Pylon Health,Advertiser,Search Ads,Brand ads,EMEA,direct,5023.822,0.3692,0.0,1854.9497,649.2324
2024-02-15,T00062,C062,Quartz Foods,Advertiser,Search Ads,Brand ads,APAC,direct,4111.6569,0.3692,0.0,1518.1503,531.3526
2024-02-15,T00063,C063,Rune Retail,Advertiser,Search Ads,Performance ads,Americas,partner,4486.4158,0.3692,0.0,1656.5228,579.783
2024-02-15,T00064,C064,Sable Systems,Advertiser,Search Ads,Performance ads,EMEA,direct,5439.0261,0.3692,0.0,2008.2558,702.8895
2024-02-15,T00065,C065,Tundra Media,Advertiser,Search Ads,Performance ads,APAC,direct,5085.0724,0.3692,0.0,1877.5652,657.1478
2024-02-15,T00066,C066,Umber Group,Advertiser,Search Ads,Performance ads,Americas,partner,4762.5996,0.3692,0.0,1758.4983,615.4744
2024-02-15,T00067,C067,Vertex Robotics,Advertiser,Search Ads,Performance ads,EMEA,direct,4643.4623,0.3692,0.0,1714.5092,600.0782
2024-02-15,T00068,C068,Willow Logistics,Advertiser,Search Ads,Performance ads,APAC,direct,3491.8424,0.3692,0.0,1289.2956,451.2535
2024-02-15,T00069,C069,Xenon Mobility,Advertiser,Search Ads,Performance ads,Americas,partner,2416.8666,0.3692,0.0,892.3815,312.3335
2024-02-15,T00070,C070,Yield Bank,Advertiser,Search Ads,Performance ads,EMEA,direct,4084.7528,0.3692,0.0,1508.2164,527.8757
2024-02-15,T00071,C071,Zephyr Labs,Advertiser,Search Ads,Performance ads,APAC,direct,3330.9661,0.3692,0.0,1229.8952,430.4633
2024-02-15,T00072,C072,Northwind Energy,Advertiser,Search Ads,Performance ads,Americas,partner,4176.8111,0.3692,0.0,1542.2072,539.7725
2024-02-15,T00073,C073,Bluepeak Health,Advertiser,Search Ads,Performance ads,EMEA,direct,5884.7758,0.3692,0.0,2172.8403,760.4941
2024-02-15,T00074,C074,Atlas Foods,Advertiser,Search Ads,Performance ads,APAC,direct,3249.5685,0.3692,0.0,1199.8407,419.9442
2024-02-15,T00075,C075,Ridgeline Retail,Advertiser,Search Ads,Performance ads,Americas,partner,2517.7325,0.3692,0.0,929.6243,325.3685
2024-02-15,T00076,C076,Solent Systems,Advertiser,Search Ads,Performance ads,EMEA,direct,3436.5349,0.3692,0.0,1268.8744,444.1061
2024-02-15,T00077,C077,Kestrel Media,Advertiser,Search Ads,Performance ads,APAC,direct,3620.4206,0.3692,0.0,1336.7707,467.8697
2024-02-15,T00078,C078,Marrow Group,Advertiser,Search Ads,Performance ads,Americas,partner,5226.7168,0.3692,0.0,1929.8647,675.4526
2024-02-15,T00079,C079,Quill Robotics,Advertiser,Search Ads,Performance ads,EMEA,direct,4728.818,0.3692,0.0,1746.0251,611.1088
2024-02-15,T00080,C080,Harbor Logistics,Advertiser,Search Ads,Performance ads,APAC,direct,5448.9305,0.3692,0.0,2011.9128,704.1695
2024-02-15,T00081,C081,Vector Mobility,Advertiser,Search Ads,Performance ads,Americas,partner,4842.9963,0.3692,0.0,1788.1833,625.8641
2024-02-15,T00082,C082,Lumen Bank,Advertiser,Search Ads,Performance ads,EMEA,direct,3889.4076,0.3692,0.0,1436.0889,502.6311
2024-02-15,T00083,S01,Premium tier,Consumer,Subscriptions,Premium tier,APAC,direct,39600.0,0.2386,0.0,9450.0,3969.0
2024-02-15,T00084,S02,Family tier,Consumer,Subscriptions,Family tier,Americas,partner,26400.0,0.2386,0.0,6300.0,2646.0
2024-02-15,T00085,S03,Student tier,Consumer,Subscriptions,Student tier,EMEA,direct,8800.0,0.2386,0.0,2100.0,882.0
2024-02-15,T00086,S04,Enterprise seats,Consumer,Subscriptions,Enterprise seats,APAC,direct,13200.0,0.2386,0.0,3150.0,1323.0
2024-02-15,T00087,D01,Retail channel,Channel,Devices & Network,Hardware,Americas,partner,29857.1429,0.42,0.0,12540.0,9781.2
2024-02-15,T00088,D02,Carrier channel,Channel,Devices & Network,Hardware,EMEA,direct,23571.4286,0.42,0.0,9900.0,7722.0
2024-02-15,T00089,D03,Online store,Channel,Devices & Network,Hardware,APAC,direct,17285.7143,0.42,0.0,7260.0,5662.8
2024-02-15,T00090,D04,Wholesale,Channel,Devices & Network,Hardware,Americas,partner,7857.1429,0.42,0.0,3300.0,2574.0
2024-05-15,T00091,C001,Helios Dynamics,Enterprise,Cloud,AI Infrastructure,APAC,direct,689.5867,2.0541,56.6592,1359.8208,679.9104
2024-05-15,T00092,C002,VantaCore AI,Enterprise,Cloud,AI Infrastructure,Americas,direct,563.1625,2.0541,46.2717,1110.5203,555.2602
2024-05-15,T00093,C003,Corex Systems,Enterprise,Cloud,AI Infrastructure,Americas,partner,430.9917,2.0541,35.412,849.888,424.944
2024-05-15,T00094,C004,Northwind Systems,Enterprise,Cloud,AI Infrastructure,EMEA,direct,133.2799,2.0541,10.9508,262.8195,131.4098
2024-05-15,T00095,C005,Bluepeak Media,Enterprise,Cloud,AI Infrastructure,APAC,direct,127.9251,2.0541,10.5108,252.2601,126.13
2024-05-15,T00096,C006,Atlas Group,Enterprise,Cloud,AI Infrastructure,Americas,partner,135.5045,2.0541,11.1336,267.2062,133.6031
2024-05-15,T00097,C007,Ridgeline Robotics,Enterprise,Cloud,AI Infrastructure,Americas,direct,133.8033,2.0541,10.9938,263.8515,131.9257
2024-05-15,T00098,C008,Solent Logistics,Enterprise,Cloud,AI Infrastructure,EMEA,direct,134.0056,2.0541,11.0104,264.2505,132.1252
2024-05-15,T00099,C009,Kestrel Mobility,Enterprise,Cloud,Data Platform,APAC,partner,128.2458,2.0541,10.5372,252.8925,126.4462
2024-05-15,T00100,C010,Marrow Bank,Enterprise,Cloud,Data Platform,Americas,direct,131.1761,2.0541,10.778,258.6708,129.3354
2024-05-15,T00101,C011,Quill Labs,Enterprise,Cloud,Data Platform,Americas,direct,130.4719,2.0541,10.7201,257.2822,128.6411
2024-05-15,T00102,C012,Harbor Energy,Enterprise,Cloud,Data Platform,EMEA,partner,135.1249,2.0541,11.1024,266.4576,133.2288
2024-05-15,T00103,C013,Vector Health,Mid-market,Cloud,AI Infrastructure,APAC,direct,140.6778,1.4529,4.0878,200.303,100.1515
2024-05-15,T00104,C014,Lumen Foods,Mid-market,Cloud,AI Infrastructure,Americas,direct,155.0294,1.4529,4.5048,220.7374,110.3687
2024-05-15,T00105,C015,Praxis Retail,Mid-market,Cloud,AI Infrastructure,Americas,partner,125.0623,1.4529,3.6341,178.069,89.0345
2024-05-15,T00106,C016,Onyx Systems,Mid-market,Cloud,AI Infrastructure,EMEA,direct,97.1854,1.4529,2.824,138.3767,69.1883
2024-05-15,T00107,C017,Cinder Media,Mid-market,Cloud,Data Platform,APAC,direct,134.6496,1.4529,3.9126,191.7198,95.8599
2024-05-15,T00108,C018,Fable Group,Mid-market,Cloud,Data Platform,Americas,partner,73.8737,1.4529,2.1466,105.1845,52.5923
2024-05-15,T00109,C019,Granite Robotics,Mid-market,Cloud,Data Platform,Americas,direct,155.5547,1.4529,4.5201,221.4853,110.7426
2024-05-15,T00110,C020,Iris Logistics,Mid-market,Cloud,Data Platform,EMEA,direct,139.8838,1.4529,4.0647,199.1724,99.5862
2024-05-15,T00111,C021,Juniper Mobility,Mid-market,Cloud,Data Platform,APAC,partner,148.8898,1.4529,4.3264,211.9956,105.9978
2024-05-15,T00112,C022,Krill Bank,Mid-market,Cloud,Data Platform,Americas,direct,114.872,1.4529,3.338,163.5596,81.7798
2024-05-15,T00113,C023,Lattice Labs,Mid-market,Cloud,Data Platform,Americas,direct,175.2788,1.4529,5.0932,249.5692,124.7846
2024-05-15,T00114,C024,Mosaic Energy,Mid-market,Cloud,Data Platform,EMEA,partner,163.5664,1.4529,4.7529,232.8927,116.4464
2024-05-15,T00115,C025,Nimbus Health,Mid-market,Cloud,Data Platform,APAC,direct,150.6595,1.4529,4.3779,214.5153,107.2576
2024-05-15,T00116,C026,Opal Foods,Mid-market,Cloud,Data Platform,Americas,direct,92.3971,1.4529,2.6849,131.5589,65.7794
2024-05-15,T00117,C027,Pylon Retail,Mid-market,Cloud,Data Platform,Americas,partner,127.3506,1.4529,3.7006,181.3271,90.6636
2024-05-15,T00118,C028,Quartz Systems,Mid-market,Cloud,Data Platform,EMEA,direct,71.2534,1.4529,2.0705,101.4536,50.7268
2024-05-15,T00119,C029,Rune Media,SMB,Cloud,Productivity Suite,APAC,direct,123.579,0.5511,0.0,68.1044,34.0522
2024-05-15,T00120,C030,Sable Group,SMB,Cloud,Productivity Suite,Americas,partner,204.6883,0.5511,0.0,112.8037,56.4019
2024-05-15,T00121,C031,Tundra Robotics,SMB,Cloud,Productivity Suite,Americas,direct,211.1516,0.5511,0.0,116.3656,58.1828
2024-05-15,T00122,C032,Umber Logistics,SMB,Cloud,Productivity Suite,EMEA,direct,249.6679,0.5511,0.0,137.592,68.796
2024-05-15,T00123,C033,Vertex Mobility,SMB,Cloud,Productivity Suite,APAC,partner,158.7698,0.5511,0.0,87.498,43.749
2024-05-15,T00124,C034,Willow Bank,SMB,Cloud,Productivity Suite,Americas,direct,166.9568,0.5511,0.0,92.0099,46.0049
2024-05-15,T00125,C035,Xenon Labs,SMB,Cloud,Productivity Suite,Americas,direct,182.324,0.5511,0.0,100.4788,50.2394
2024-05-15,T00126,C036,Yield Energy,SMB,Cloud,Productivity Suite,EMEA,partner,130.9206,0.5511,0.0,72.1503,36.0752
2024-05-15,T00127,C037,Zephyr Health,SMB,Cloud,Productivity Suite,APAC,direct,118.5718,0.5511,0.0,65.3449,32.6725
2024-05-15,T00128,C038,Northwind Foods,SMB,Cloud,Productivity Suite,Americas,direct,183.1413,0.5511,0.0,100.9292,50.4646
2024-05-15,T00129,C039,Bluepeak Retail,SMB,Cloud,Productivity Suite,Americas,partner,138.7769,0.5511,0.0,76.48,38.24
2024-05-15,T00130,C040,Atlas Systems,SMB,Cloud,Productivity Suite,EMEA,direct,203.4177,0.5511,0.0,112.1035,56.0517
2024-05-15,T00131,C041,Ridgeline Media,SMB,Cloud,Productivity Suite,APAC,direct,177.755,0.5511,0.0,97.9608,48.9804
2024-05-15,T00132,C042,Solent Group,SMB,Cloud,Productivity Suite,Americas,partner,223.0284,0.5511,0.0,122.911,61.4555
2024-05-15,T00133,C043,Kestrel Robotics,SMB,Cloud,Productivity Suite,Americas,direct,206.3882,0.5511,0.0,113.7406,56.8703
2024-05-15,T00134,C044,Marrow Logistics,SMB,Cloud,Productivity Suite,EMEA,direct,156.1745,0.5511,0.0,86.0678,43.0339
2024-05-15,T00135,C045,Quill Mobility,SMB,Cloud,Productivity Suite,APAC,partner,222.9622,0.5511,0.0,122.8745,61.4372
2024-05-15,T00136,C046,Harbor Bank,SMB,Cloud,Productivity Suite,Americas,direct,218.8278,0.5511,0.0,120.596,60.298
2024-05-15,T00137,C047,Vector Labs,SMB,Cloud,Productivity Suite,Americas,direct,169.8858,0.5511,0.0,93.6241,46.812
2024-05-15,T00138,C048,Lumen Energy,SMB,Cloud,Productivity Suite,EMEA,partner,151.4187,0.5511,0.0,83.4468,41.7234
2024-05-15,T00139,C049,Praxis Health,SMB,Cloud,Productivity Suite,APAC,direct,204.6346,0.5511,0.0,112.7742,56.3871
2024-05-15,T00140,C050,Onyx Foods,SMB,Cloud,Productivity Suite,Americas,direct,120.5818,0.5511,0.0,66.4526,33.2263
2024-05-15,T00141,C051,Cinder Retail,SMB,Cloud,Productivity Suite,Americas,partner,133.1114,0.5511,0.0,73.3577,36.6789
2024-05-15,T00142,C052,Fable Systems,SMB,Cloud,Productivity Suite,EMEA,direct,95.2527,0.5511,0.0,52.4937,26.2469
2024-05-15,T00143,C053,Granite Media,Advertiser,Search Ads,Brand ads,APAC,direct,5856.2619,0.3732,0.0,2185.7572,765.015
2024-05-15,T00144,C054,Iris Group,Advertiser,Search Ads,Brand ads,Americas,partner,5140.8029,0.3732,0.0,1918.7235,671.5532
2024-05-15,T00145,C055,Juniper Robotics,Advertiser,Search Ads,Brand ads,EMEA,direct,5180.8321,0.3732,0.0,1933.6637,676.7823
2024-05-15,T00146,C056,Krill Logistics,Advertiser,Search Ads,Brand ads,APAC,direct,5557.5594,0.3732,0.0,2074.2712,725.9949
2024-05-15,T00147,C057,Lattice Mobility,Advertiser,Search Ads,Brand ads,Americas,partner,4426.3227,0.3732,0.0,1652.055,578.2193
2024-05-15,T00148,C058,Mosaic Bank,Advertiser,Search Ads,Brand ads,EMEA,direct,5016.116,0.3732,0.0,1872.186,655.2651
2024-05-15,T00149,C059,Nimbus Labs,Advertiser,Search Ads,Brand ads,APAC,direct,3149.9038,0.3732,0.0,1175.6518,411.4781
2024-05-15,T00150,C060,Opal Energy,Advertiser,Search Ads,Brand ads,Americas,partner,2936.0755,0.3732,0.0,1095.8438,383.5453
2024-05-15,T00151,C061,Pylon Health,Advertiser,Search Ads,Brand ads,EMEA,direct,5051.4418,0.3732,0.0,1885.3708,659.8798
2024-05-15,T00152,C062,Quartz Foods,Advertiser,Search Ads,Brand ads,APAC,direct,4278.4236,0.3732,0.0,1596.854,558.8989
2024-05-15,T00153,C063,Rune Retail,Advertiser,Search Ads,Performance ads,Americas,partner,4816.954,0.3732,0.0,1797.852,629.2482
2024-05-15,T00154,C064,Sable Systems,Advertiser,Search Ads,Performance ads,EMEA,direct,5832.1844,0.3732,0.0,2176.7707,761.8697
2024-05-15,T00155,C065,Tundra Media,Advertiser,Search Ads,Performance ads,APAC,direct,5288.5204,0.3732,0.0,1973.8567,690.8498
2024-05-15,T00156,C066,Umber Group,Advertiser,Search Ads,Performance ads,Americas,partner,4794.0005,0.3732,0.0,1789.285,626.2497
2024-05-15,T00157,C067,Vertex Robotics,Advertiser,Search Ads,Performance ads,EMEA,direct,4645.5907,0.3732,0.0,1733.8933,606.8627
2024-05-15,T00158,C068,Willow Logistics,Advertiser,Search Ads,Performance ads,APAC,direct,3593.0468,0.3732,0.0,1341.048,469.3668
2024-05-15,T00159,C069,Xenon Mobility,Advertiser,Search Ads,Performance ads,Americas,partner,2578.5709,0.3732,0.0,962.4108,336.8438
2024-05-15,T00160,C070,Yield Bank,Advertiser,Search Ads,Performance ads,EMEA,direct,4398.0896,0.3732,0.0,1641.5175,574.5311
2024-05-15,T00161,C071,Zephyr Labs,Advertiser,Search Ads,Performance ads,APAC,direct,3499.9557,0.3732,0.0,1306.3032,457.2061
2024-05-15,T00162,C072,Northwind Energy,Advertiser,Search Ads,Performance ads,Americas,partner,4236.4472,0.3732,0.0,1581.187,553.4154
2024-05-15,T00163,C073,Bluepeak Health,Advertiser,Search Ads,Performance ads,EMEA,direct,5875.5287,0.3732,0.0,2192.9482,767.5319
2024-05-15,T00164,C074,Atlas Foods,Advertiser,Search Ads,Performance ads,APAC,direct,3308.9345,0.3732,0.0,1235.0075,432.2526
2024-05-15,T00165,C075,Ridgeline Retail,Advertiser,Search Ads,Performance ads,Americas,partner,2662.8765,0.3732,0.0,993.8766,347.8568
2024-05-15,T00166,C076,Solent Systems,Advertiser,Search Ads,Performance ads,EMEA,direct,3704.7058,0.3732,0.0,1382.7229,483.953
2024-05-15,T00167,C077,Kestrel Media,Advertiser,Search Ads,Performance ads,APAC,direct,3839.7963,0.3732,0.0,1433.1433,501.6002
2024-05-15,T00168,C078,Marrow Group,Advertiser,Search Ads,Performance ads,Americas,partner,5350.6619,0.3732,0.0,1997.05,698.9675
2024-05-15,T00169,C079,Quill Robotics,Advertiser,Search Ads,Performance ads,EMEA,direct,4726.3106,0.3732,0.0,1764.0208,617.4073
2024-05-15,T00170,C080,Harbor Logistics,Advertiser,Search Ads,Performance ads,APAC,direct,5499.6267,0.3732,0.0,2052.6488,718.4271
2024-05-15,T00171,C081,Vector Mobility,Advertiser,Search Ads,Performance ads,Americas,partner,5069.2417,0.3732,0.0,1892.0144,662.205
2024-05-15,T00172,C082,Lumen Bank,Advertiser,Search Ads,Performance ads,EMEA,direct,4185.2175,0.3732,0.0,1562.0663,546.7232
2024-05-15,T00173,S01,Premium tier,Consumer,Subscriptions,Premium tier,APAC,direct,40725.0,0.2475,0.0,10080.0,4233.6
2024-05-15,T00174,S02,Family tier,Consumer,Subscriptions,Family tier,Americas,partner,27150.0,0.2475,0.0,6720.0,2822.4
2024-05-15,T00175,S03,Student tier,Consumer,Subscriptions,Student tier,EMEA,direct,9050.0,0.2475,0.0,2240.0,940.8
2024-05-15,T00176,S04,Enterprise seats,Consumer,Subscriptions,Enterprise seats,APAC,direct,13575.0,0.2475,0.0,3360.0,1411.2
2024-05-15,T00177,D01,Retail channel,Channel,Devices & Network,Hardware,Americas,partner,31485.7143,0.42,0.0,13224.0,10314.72
2024-05-15,T00178,D02,Carrier channel,Channel,Devices & Network,Hardware,EMEA,direct,24857.1429,0.42,0.0,10440.0,8143.2
2024-05-15,T00179,D03,Online store,Channel,Devices & Network,Hardware,APAC,direct,18228.5714,0.42,0.0,7656.0,5971.68
2024-05-15,T00180,D04,Wholesale,Channel,Devices & Network,Hardware,Americas,partner,8285.7143,0.42,0.0,3480.0,2714.4
2024-08-15,T00181,C001,Helios Dynamics,Enterprise,Cloud,AI Infrastructure,Americas,direct,788.6138,2.0582,64.925,1558.2,786.891
2024-08-15,T00182,C002,VantaCore AI,Enterprise,Cloud,AI Infrastructure,EMEA,direct,643.7664,2.0582,53.0,1272.0,642.36
2024-08-15,T00183,C003,Corex Systems,Enterprise,Cloud,AI Infrastructure,APAC,partner,489.2625,2.0582,40.28,966.72,488.1936
2024-08-15,T00184,C004,Northwind Systems,Enterprise,Cloud,AI Infrastructure,Americas,direct,145.0166,2.0582,11.9389,286.5343,144.6998
2024-08-15,T00185,C005,Bluepeak Media,Enterprise,Cloud,AI Infrastructure,Americas,direct,140.6631,2.0582,11.5805,277.9322,140.3558
2024-08-15,T00186,C006,Atlas Group,Enterprise,Cloud,AI Infrastructure,EMEA,partner,146.9248,2.0582,12.096,290.3045,146.6038
2024-08-15,T00187,C007,Ridgeline Robotics,Enterprise,Cloud,AI Infrastructure,APAC,direct,145.4577,2.0582,11.9752,287.4058,145.1399
2024-08-15,T00188,C008,Solent Logistics,Enterprise,Cloud,AI Infrastructure,Americas,direct,145.6294,2.0582,11.9894,287.745,145.3112
2024-08-15,T00189,C009,Kestrel Mobility,Enterprise,Cloud,Data Platform,Americas,partner,140.919,2.0582,11.6016,278.438,140.6112
2024-08-15,T00190,C010,Marrow Bank,Enterprise,Cloud,Data Platform,EMEA,direct,143.2791,2.0582,11.7959,283.1012,142.9661
2024-08-15,T00191,C011,Quill Labs,Enterprise,Cloud,Data Platform,APAC,direct,142.7072,2.0582,11.7488,281.9712,142.3955
2024-08-15,T00192,C012,Harbor Energy,Enterprise,Cloud,Data Platform,Americas,partner,146.5924,2.0582,12.0687,289.6478,146.2721
2024-08-15,T00193,C013,Vector Health,Mid-market,Cloud,AI Infrastructure,Americas,direct,144.278,1.4558,4.2008,205.8392,103.9488
2024-08-15,T00194,C014,Lumen Foods,Mid-market,Cloud,AI Infrastructure,EMEA,direct,168.3933,1.4558,4.9029,240.244,121.3232
2024-08-15,T00195,C015,Praxis Retail,Mid-market,Cloud,AI Infrastructure,APAC,partner,127.8872,1.4558,3.7236,182.4546,92.1396
